# NOTE: companies_this_topic = unique companies for THIS topic only. DO NOT SUM - double-counts companies across topics. Global unique total: 373352 companies (all regions 90-day).
topic,companies_this_topic,total_signals,acc_NAMER,acc_EMEA,acc_APAC,acc_LATAM,acc_ANZ,acc_Global,sig_NAMER,sig_EMEA,sig_APAC,sig_LATAM,sig_ANZ,sig_Global
grid reliability,11,15,0,0,0,8,0,3,0,0,0,11,0,4
pjm,11,15,0,0,0,8,0,3,0,0,0,11,0,4
revenue acceleration,13,15,0,0,0,11,0,2,0,0,0,13,0,2
server refresh,7,15,0,1,0,6,0,0,0,1,0,7,0,7
GWI,3,14,0,2,0,1,0,0,0,13,0,1,0,0
Irdeto,3,14,0,1,0,1,1,0,0,7,0,6,1,0
Kantar,3,14,0,2,0,1,0,0,0,13,0,1,0,0
advertising effectiveness,3,14,0,2,0,1,0,0,0,13,0,1,0,0
ai maturity models,7,14,0,7,0,0,0,0,0,14,0,0,0,0
device refresh,4,14,0,0,0,3,0,1,0,0,0,3,0,11
global insights,3,14,0,2,0,1,0,0,0,13,0,1,0,0
media channel analysis,3,14,0,2,0,1,0,0,0,13,0,1,0,0
media planning,3,14,0,2,0,1,0,0,0,13,0,1,0,0
modelops,7,14,0,7,0,0,0,0,0,14,0,0,0,0
multi-location reporting,12,14,0,0,0,10,0,2,0,0,0,10,0,4
online research,3,14,0,2,0,1,0,0,0,13,0,1,0,0
rate limiting,3,14,0,1,0,1,1,0,0,7,0,6,1,0
server-side analysis,3,14,0,1,0,1,1,0,0,7,0,6,1,0
3M,11,13,1,8,0,1,0,1,1,10,0,1,0,1
NextGen Healthcare,3,13,0,0,0,3,0,0,0,0,0,13,0,0
Rigid Lifelines,11,13,1,8,0,1,0,1,1,10,0,1,0,1
aerial lift safety,11,13,1,8,0,1,0,1,1,10,0,1,0,1
analytic reports,8,13,0,0,0,7,0,1,0,0,0,10,0,3
automotive supply chain,10,13,0,2,0,7,0,1,0,2,0,10,0,1
building maintenance,11,13,1,8,0,1,0,1,1,10,0,1,0,1
cost avoidance,8,13,0,0,0,7,0,1,0,0,0,10,0,3
data immutability,11,13,1,1,0,9,0,0,2,2,0,9,0,0
deep tms,13,13,0,0,0,10,0,3,0,0,0,10,0,3
deep transcranial magnetic stimulation,13,13,0,0,0,10,0,3,0,0,0,10,0,3
epic migration,8,13,0,0,0,7,0,1,0,0,0,10,0,3
freestanding,11,13,1,8,0,1,0,1,1,10,0,1,0,1
mewp safety,11,13,1,8,0,1,0,1,1,10,0,1,0,1
migration to azure,8,13,0,0,0,7,0,1,0,0,0,10,0,3
multi-tier visibility,10,13,0,2,0,7,0,1,0,2,0,10,0,1
neuromodulation,13,13,0,0,0,10,0,3,0,0,0,10,0,3
overhead anchorage,11,13,1,8,0,1,0,1,1,10,0,1,0,1
personal safety,11,13,1,8,0,1,0,1,1,10,0,1,0,1
scaffold safety,11,13,1,8,0,1,0,1,1,10,0,1,0,1
scenario simulation,10,13,0,2,0,7,0,1,0,2,0,10,0,1
scissor lifts,11,13,1,8,0,1,0,1,1,10,0,1,0,1
server provisioning,8,13,0,0,0,7,0,1,0,0,0,10,0,3
swing arm,11,13,1,8,0,1,0,1,1,10,0,1,0,1
temporary access,11,13,1,8,0,1,0,1,1,10,0,1,0,1
tms,13,13,0,0,0,10,0,3,0,0,0,10,0,3
transcranial magnetic stimulation,13,13,0,0,0,10,0,3,0,0,0,10,0,3
transportation services,11,13,1,8,0,1,0,1,1,10,0,1,0,1
commercial security,7,12,2,3,0,2,0,0,2,5,0,4,0,1
customer identity management,4,12,0,4,0,0,0,0,0,12,0,0,0,0
data backup and recovery,10,12,1,1,0,8,0,0,2,2,0,8,0,0
data consistency,11,12,0,0,0,10,0,1,0,0,0,10,0,2
end-user license agreement (eula),7,12,4,0,0,0,0,3,9,0,0,0,0,3
enterprise it infrastructure,10,12,1,1,0,8,0,0,2,2,0,8,0,0
license_agreement,7,12,4,0,0,0,0,3,9,0,0,0,0,3
mfa abuse detection,4,12,0,4,0,0,0,0,0,12,0,0,0,0
multi-factor authentication abuse detection,4,12,0,4,0,0,0,0,0,12,0,0,0,0
network-based,10,12,1,1,0,8,0,0,2,2,0,8,0,0
people processes,2,12,0,0,0,1,0,1,0,0,0,11,0,1
public sector digital payments,5,12,1,1,0,3,0,0,2,4,0,6,0,0
security access,10,12,1,1,0,8,0,0,2,2,0,8,0,0
service desk,6,12,0,1,0,5,0,0,0,1,0,11,0,0
transport management systems (tms),1,12,1,0,0,0,0,0,12,0,0,0,0,0
zero trust data protection,10,12,1,1,0,8,0,0,2,2,0,8,0,0
ai-assisted experiences,7,11,0,2,0,5,0,0,0,6,0,5,0,0
ai-driven detection,9,11,0,0,0,8,0,1,0,0,0,10,0,1
audit processes,9,11,0,0,0,8,0,1,0,0,0,10,0,1
automotive transportation,6,11,0,0,0,6,0,0,0,0,0,11,0,0
biometrics,6,11,2,3,0,1,0,0,2,5,0,2,0,2
business information,8,11,0,5,0,0,3,0,0,7,0,0,4,0
compliance notifications,5,11,2,2,0,1,0,0,2,4,0,1,0,4
digital engagement,7,11,0,2,0,5,0,0,0,6,0,5,0,0
distribution switches,2,11,0,0,0,2,0,0,0,0,0,2,0,9
end-of-life,8,11,0,5,0,0,3,0,0,7,0,0,4,0
executive support,9,11,0,0,0,8,0,1,0,0,0,10,0,1
forensics,5,11,2,2,0,1,0,0,2,4,0,1,0,4
fulfillment centers,7,11,0,2,0,5,0,0,0,6,0,5,0,0
guidance resources,1,11,0,0,0,1,0,0,0,0,0,11,0,0
health data,9,11,0,0,0,8,0,1,0,0,0,10,0,1
idc marketscape,5,11,2,2,0,1,0,0,2,4,0,1,0,4
incident readiness,9,11,0,0,0,8,0,1,0,0,0,10,0,1
managed identity,5,11,0,3,1,1,0,0,0,6,4,1,0,0
market definition,5,11,2,2,0,1,0,0,2,4,0,1,0,4
mibridge,10,11,0,6,1,1,1,1,0,7,1,1,1,1
omni-channel,7,11,0,2,0,5,0,0,0,6,0,5,0,0
omnichannel journeys,7,11,0,2,0,5,0,0,0,6,0,5,0,0
on-demand transportation,6,11,0,0,0,6,0,0,0,0,0,11,0,0
ot/ics threat intelligence,1,11,0,0,0,1,0,0,0,0,0,11,0,0
plc migration,10,11,0,6,1,1,1,1,0,7,1,1,1,1
plc replacement,10,11,0,6,1,1,1,1,0,7,1,1,1,1
plug-and-play migration,10,11,0,6,1,1,1,1,0,7,1,1,1,1
plug-and-play solutions,10,11,0,6,1,1,1,1,0,7,1,1,1,1
power consumption,11,11,1,5,0,4,0,1,1,5,0,4,0,1
private access,8,11,0,5,0,0,3,0,0,7,0,0,4,0
programmable logic,10,11,0,6,1,1,1,1,0,7,1,1,1,1
programmable logic controllers,10,11,0,6,1,1,1,1,0,7,1,1,1,1
retail technology,7,11,0,2,0,5,0,0,0,6,0,5,0,0
rise with sap,8,11,0,5,0,0,3,0,0,7,0,0,4,0
stronger verification,9,11,0,0,0,8,0,1,0,0,0,10,0,1
vendor assessment,5,11,2,2,0,1,0,0,2,4,0,1,0,4
24/7 threat monitoring,4,10,0,3,1,0,0,0,0,6,4,0,0,0
ai computing,10,10,1,5,0,3,0,1,1,5,0,3,0,1
closed loop systems,4,10,0,0,0,4,0,0,0,0,0,10,0,0
compute express link,10,10,1,5,0,3,0,1,1,5,0,3,0,1
dry-solids processing systems,4,10,0,0,0,4,0,0,0,0,0,10,0,0
endpoint visibility,4,10,0,3,1,0,0,0,0,6,4,0,0,0
erp evaluation,10,10,0,0,0,9,0,1,0,0,0,9,0,1
flash memory,10,10,1,5,0,3,0,1,1,5,0,3,0,1
hardware refresh,3,10,0,0,0,2,0,1,0,0,0,2,0,8
load cells,4,10,0,0,0,4,0,0,0,0,0,10,0,0
low-latency nand flash,10,10,1,5,0,3,0,1,1,5,0,3,0,1
managed edr,4,10,0,3,1,0,0,0,0,6,4,0,0,0
memory capacity,10,10,1,5,0,3,0,1,1,5,0,3,0,1
memory expansion,10,10,1,5,0,3,0,1,1,5,0,3,0,1
nand flash,10,10,1,5,0,3,0,1,1,5,0,3,0,1
nand flash memory,10,10,1,5,0,3,0,1,1,5,0,3,0,1
pharmaceutical manufacturing automation,4,10,0,0,0,4,0,0,0,0,0,10,0,0
powder blending,4,10,0,0,0,4,0,0,0,0,0,10,0,0
single-source provider,4,10,0,0,0,4,0,0,0,0,0,10,0,0
solvent recovery,4,10,0,0,0,4,0,0,0,0,0,10,0,0
storage capacity,10,10,1,5,0,3,0,1,1,5,0,3,0,1
storage class memory,10,10,1,5,0,3,0,1,1,5,0,3,0,1
thermal processing systems,4,10,0,0,0,4,0,0,0,0,0,10,0,0
vacuum drying,4,10,0,0,0,4,0,0,0,0,0,10,0,0
ARC Advisory Group,3,9,0,3,0,0,0,0,0,9,0,0,0,0
Mitsubishi Electric,7,9,3,3,0,1,0,0,5,3,0,1,0,0
ai compliance,5,9,0,4,0,0,0,1,0,7,0,0,0,2
ai projects,5,9,0,4,0,0,0,1,0,7,0,0,0,2
ai scaling,5,9,0,4,0,0,0,1,0,7,0,0,0,2
arbitrary function generator,5,9,0,0,0,5,0,0,0,0,0,9,0,0
compact power,5,9,0,0,0,5,0,0,0,0,0,9,0,0
computer vision,7,9,0,1,0,4,0,2,0,1,0,6,0,2
control panel modernization,7,9,3,3,0,1,0,0,5,3,0,1,0,0
data catalog,2,9,1,1,0,0,0,0,5,4,0,0,0,0
data presentation,3,9,0,3,0,0,0,0,0,9,0,0,0,0
decision-making support,3,9,0,3,0,0,0,0,0,9,0,0,0,0
design optimization,5,9,0,0,0,5,0,0,0,0,0,9,0,0
double pulse testing,5,9,0,0,0,5,0,0,0,0,0,9,0,0
energy-efficiency,5,9,0,0,0,5,0,0,0,0,0,9,0,0
flexible reporting,5,9,0,0,0,5,0,0,0,0,0,5,0,4
frequency drives,7,9,3,3,0,1,0,0,5,3,0,1,0,0
function generator,5,9,0,0,0,5,0,0,0,0,0,9,0,0
gallium nitride,5,9,0,0,0,5,0,0,0,0,0,9,0,0
industrial information modeling,3,9,0,3,0,0,0,0,0,9,0,0,0,0
it-ot convergence,3,9,0,3,0,0,0,0,0,9,0,0,0,0
lift station,7,9,3,3,0,1,0,0,5,3,0,1,0,0
lift station control,7,9,3,3,0,1,0,0,5,3,0,1,0,0
lift station control panels,7,9,3,3,0,1,0,0,5,3,0,1,0,0
manufacturing platform,3,9,0,3,0,0,0,0,0,9,0,0,0,0
oscilloscope,5,9,0,0,0,5,0,0,0,0,0,9,0,0
power converters,5,9,0,0,0,5,0,0,0,0,0,9,0,0
power semiconductor devices,5,9,0,0,0,5,0,0,0,0,0,9,0,0
retrofit,7,9,3,3,0,1,0,0,5,3,0,1,0,0
semiconductor materials,5,9,0,0,0,5,0,0,0,0,0,9,0,0
station control,7,9,3,3,0,1,0,0,5,3,0,1,0,0
streamline controls,7,9,0,0,0,6,0,1,0,0,0,6,0,3
switching devices,5,9,0,0,0,5,0,0,0,0,0,9,0,0
switching parameter measurement,5,9,0,0,0,5,0,0,0,0,0,9,0,0
variable frequency,7,9,3,3,0,1,0,0,5,3,0,1,0,0
vfd,7,9,3,3,0,1,0,0,5,3,0,1,0,0
wastewater treatment,7,9,3,3,0,1,0,0,5,3,0,1,0,0
COMSOL,4,8,1,0,0,1,0,2,5,0,0,1,0,2
ai-powered threat protection,8,8,0,0,0,7,0,1,0,0,0,7,0,1
ai/ml enterprise tools,3,8,0,0,2,1,0,0,0,0,3,5,0,0
behavioral detection,5,8,0,3,0,1,0,1,0,5,0,2,0,1
connector design,7,8,1,1,0,4,1,0,1,1,0,4,2,0
credential theft protection,8,8,0,0,0,7,0,1,0,0,0,7,0,1
customizable connectors,7,8,1,1,0,4,1,0,1,1,0,4,2,0
design flexibility,7,8,1,1,0,4,1,0,1,1,0,4,2,0
digital upskilling for government agencies,2,8,0,0,0,1,0,1,0,0,0,2,0,6
ia-ready cloud migration,3,8,0,0,2,1,0,0,0,0,3,5,0,0
intelligence-driven security,5,8,0,3,0,1,0,1,0,5,0,2,0,1
intelligence-driven security operations,5,8,0,3,0,1,0,1,0,5,0,2,0,1
interconnect design,7,8,1,1,0,4,1,0,1,1,0,4,2,0
material properties,7,8,1,1,0,4,1,0,1,1,0,4,2,0
miniaturization,7,8,1,1,0,4,1,0,1,1,0,4,2,0
optical switching,4,8,1,0,0,1,0,2,5,0,0,1,0,2
pcs,2,8,0,0,0,1,0,1,0,0,0,1,0,7
photonic waveguide design,4,8,1,0,0,1,0,2,5,0,0,1,0,2
pricing,4,8,0,0,0,4,0,0,0,0,0,4,0,4
quality intelligence,5,8,0,3,0,1,0,1,0,5,0,2,0,1
seamless connectivity,8,8,0,0,0,7,0,1,0,0,0,7,0,1
secure identity,8,8,0,0,0,7,0,1,0,0,0,7,0,1
security cameras,6,8,2,3,0,1,0,0,2,5,0,1,0,0
security telemetry,5,8,0,3,0,1,0,1,0,5,0,2,0,1
server replacement,1,8,0,0,0,1,0,0,0,0,0,1,0,7
spring-loaded pins,7,8,1,1,0,4,1,0,1,1,0,4,2,0
streamlining controls,8,8,0,0,0,8,0,0,0,0,0,8,0,0
surface plasmon polaritons,4,8,1,0,0,1,0,2,5,0,0,1,0,2
switching,7,8,0,0,0,6,0,1,0,0,0,7,0,1
tech-driven finance,4,8,0,1,1,0,0,2,0,2,2,0,0,4
threat mitigation,5,8,0,3,0,1,0,1,0,5,0,2,0,1
travel & expense management (t&e),1,8,0,0,0,1,0,0,0,0,0,8,0,0
user permissions,5,8,0,0,0,4,0,1,0,0,0,4,0,4
waveguide design,4,8,1,0,0,1,0,2,5,0,0,1,0,2
windows 11,1,8,0,0,0,1,0,0,0,0,0,1,0,7
Atlan,2,7,1,1,0,0,0,0,5,2,0,0,0,0
Chemours,6,7,1,0,0,4,0,1,1,0,0,4,0,2
Cloud Backup,2,7,0,0,0,2,0,0,0,0,0,3,0,4
LenelS2,5,7,2,3,0,0,0,0,2,5,0,0,0,0
ai threat defense,1,7,0,1,0,0,0,0,0,7,0,0,0,0
ai-powered clinical documentation,7,7,0,0,0,6,0,1,0,0,0,6,0,1
air purification,5,7,0,0,0,4,0,1,0,0,0,6,0,1
ambient capture,5,7,0,0,0,4,0,1,0,0,0,6,0,1
brand advocacy,7,7,0,0,0,6,0,1,0,0,0,6,0,1
building access,5,7,2,3,0,0,0,0,2,5,0,0,0,0
building access control,5,7,2,3,0,0,0,0,2,5,0,0,0,0
cartridge dust collectors,5,7,0,0,0,4,0,1,0,0,0,6,0,1
clinical workflow optimization,7,7,0,0,0,6,0,1,0,0,0,6,0,1
control loop,6,7,1,0,0,4,0,1,1,0,0,4,0,2
data pipeline visibility,2,7,1,1,0,0,0,0,5,2,0,0,0,0
door entry,5,7,2,3,0,0,0,0,2,5,0,0,0,0
environmental protection agency,5,7,0,0,0,4,0,1,0,0,0,6,0,1
equipment performance,5,7,0,0,0,4,0,1,0,0,0,6,0,1
extraction arms,5,7,0,0,0,4,0,1,0,0,0,6,0,1
hazardous area certifications,6,7,1,0,0,4,0,1,1,0,0,4,0,2
industrial dust collection,5,7,0,0,0,4,0,1,0,0,0,6,0,1
manufacturing processes,5,7,0,0,0,4,0,1,0,0,0,6,0,1
mist collection,5,7,0,0,0,4,0,1,0,0,0,6,0,1
mobile credentials,5,7,2,3,0,0,0,0,2,5,0,0,0,0
non-invasive temperature sensing,6,7,1,0,0,4,0,1,1,0,0,4,0,2
oauth token,7,7,0,6,0,0,0,1,0,6,0,0,0,1
oauth token security,7,7,0,6,0,0,0,1,0,6,0,0,0,1
oauth tokens,7,7,0,6,0,0,0,1,0,6,0,0,0,1
on-premise infrastructure,2,7,0,0,0,2,0,0,0,0,0,2,0,5
plant performance,5,7,0,0,0,4,0,1,0,0,0,6,0,1
security report,1,7,0,1,0,0,0,0,0,7,0,0,0,0
server,1,7,0,1,0,0,0,0,0,1,0,0,0,6
single device pipe monitoring,6,7,1,0,0,4,0,1,1,0,0,4,0,2
source capture,5,7,0,0,0,4,0,1,0,0,0,6,0,1
streamlined controls,4,7,0,0,0,3,0,1,0,0,0,3,0,4
supply chain attack prevention,7,7,0,6,0,0,0,1,0,6,0,0,0,1
temperature sensors,6,7,1,0,0,4,0,1,1,0,0,4,0,2
two-phase cooling,6,7,1,0,0,4,0,1,1,0,0,4,0,2
Mastercard,5,6,1,1,0,3,0,0,1,2,0,3,0,0
Visa,5,6,1,1,0,3,0,0,1,2,0,3,0,0
ai building,2,6,0,2,0,0,0,0,0,6,0,0,0,0
ai-powered building management,2,6,0,2,0,0,0,0,0,6,0,0,0,0
ballistic protection,4,6,1,3,0,0,0,0,1,5,0,0,0,0
best practice recommendations,5,6,1,1,0,3,0,0,1,2,0,3,0,0
building analytics,2,6,0,2,0,0,0,0,0,6,0,0,0,0
building intelligence,2,6,0,2,0,0,0,0,0,6,0,0,0,0
case studies,5,6,1,1,0,3,0,0,1,2,0,3,0,0
collaborative work,2,6,0,2,0,0,0,0,0,6,0,0,0,0
collaborative work environment,2,6,0,2,0,0,0,0,0,6,0,0,0,0
community college programs,6,6,0,0,0,6,0,0,0,0,0,6,0,0
contactless experience,2,6,0,2,0,0,0,0,0,6,0,0,0,0
continuous training,4,6,1,3,0,0,0,0,1,5,0,0,0,0
corporate security,4,6,1,3,0,0,0,0,1,5,0,0,0,0
corporate video,4,6,1,3,0,0,0,0,1,5,0,0,0,0
cross-sectoral collaboration,5,6,1,1,0,3,0,0,1,2,0,3,0,0
cybercrime economics,4,6,0,0,2,1,0,1,0,0,3,2,0,1
cybersecurity predictions,4,6,0,0,2,1,0,1,0,0,3,2,0,1
decentralized identity,6,6,0,0,0,5,0,1,0,0,0,5,0,1
digital identity,5,6,1,1,0,3,0,0,1,2,0,3,0,0
digital wallets,6,6,0,0,0,5,0,1,0,0,0,5,0,1
economic growth,5,6,1,1,0,3,0,0,1,2,0,3,0,0
economic opportunity,5,6,1,1,0,3,0,0,1,2,0,3,0,0
economic resilience,5,6,1,1,0,3,0,0,1,2,0,3,0,0
fault detection and diagnostics,2,6,0,2,0,0,0,0,0,6,0,0,0,0
firewall refresh,4,6,0,1,0,2,0,1,0,1,0,2,0,3
g2p payments infrastructure,5,6,1,1,0,3,0,0,1,2,0,3,0,0
generative design,2,6,0,2,0,0,0,0,0,6,0,0,0,0
government payments,5,6,1,1,0,3,0,0,1,2,0,3,0,0
government payments infrastructure,5,6,1,1,0,3,0,0,1,2,0,3,0,0
indoor location,2,6,0,2,0,0,0,0,0,6,0,0,0,0
insurance coverage,6,6,0,0,0,5,0,1,0,0,0,5,0,1
legal advice,5,6,1,1,0,3,0,0,1,2,0,3,0,0
lighting controls,1,6,0,1,0,0,0,0,0,6,0,0,0,0
location analytics,2,6,0,2,0,0,0,0,0,6,0,0,0,0
long-term planning,2,6,0,2,0,0,0,0,0,6,0,0,0,0
management portal,1,6,0,0,0,1,0,0,0,0,0,2,0,4
marketing materials,5,6,1,1,0,3,0,0,1,2,0,3,0,0
occupancy monitoring,2,6,0,2,0,0,0,0,0,6,0,0,0,0
operational marketing,5,6,1,1,0,3,0,0,1,2,0,3,0,0
plastics manufacturing equipment,6,6,0,0,0,6,0,0,0,0,0,6,0,0
plastics processing machinery,6,6,0,0,0,6,0,0,0,0,0,6,0,0
plastics recycling systems,6,6,0,0,0,6,0,0,0,0,0,6,0,0
retrocommissioning,2,6,0,2,0,0,0,0,0,6,0,0,0,0
safety lighting,1,6,0,1,0,0,0,0,0,6,0,0,0,0
security upgrades,4,6,1,3,0,0,0,0,1,5,0,0,0,0
smart automation,2,6,0,2,0,0,0,0,0,6,0,0,0,0
smart building automation,2,6,0,2,0,0,0,0,0,6,0,0,0,0
smart building technology,2,6,0,2,0,0,0,0,0,6,0,0,0,0
total security,4,6,1,3,0,0,0,0,1,5,0,0,0,0
trade school programs,6,6,0,0,0,6,0,0,0,0,0,6,0,0
verified trust,6,6,0,0,0,5,0,1,0,0,0,5,0,1
CACI,4,5,0,3,0,1,0,0,0,3,0,2,0,0
Peak Technologies,3,5,0,1,0,2,0,0,0,1,0,4,0,0
advanced automation,3,5,0,1,0,2,0,0,0,1,0,4,0,0
ai-powered drone,3,5,0,1,0,2,0,0,0,1,0,4,0,0
alarm systems,2,5,0,0,0,2,0,0,0,0,0,4,0,1
application attack surface security,3,5,0,3,0,0,0,0,0,5,0,0,0,0
approval processes,3,5,0,0,0,3,0,0,0,0,0,3,0,2
attack surface security,3,5,0,3,0,0,0,0,0,5,0,0,0,0
automated guided vehicles,3,5,0,1,0,2,0,0,0,1,0,4,0,0
automated inventory,3,5,0,1,0,2,0,0,0,1,0,4,0,0
automated inventory counting,3,5,0,1,0,2,0,0,0,1,0,4,0,0
automated solutions,3,5,0,1,0,2,0,0,0,1,0,4,0,0
autonomous drones,3,5,0,1,0,2,0,0,0,1,0,4,0,0
batch processing,5,5,0,0,0,4,0,1,0,0,0,4,0,1
cloud modernization,2,5,0,0,0,1,0,1,0,0,0,1,0,4
computing infrastructure,1,5,0,0,0,1,0,0,0,0,0,1,0,4
consumer health,3,5,0,1,0,2,0,0,0,1,0,4,0,0
critical power,1,5,0,0,0,1,0,0,0,0,0,1,0,4
customer data analysis,4,5,0,3,0,1,0,0,0,3,0,2,0,0
data center site selection,1,5,0,0,0,1,0,0,0,0,0,1,0,4
data enrichment,4,5,0,3,0,1,0,0,0,3,0,2,0,0
digital operational resilience,5,5,0,4,0,1,0,0,0,4,0,1,0,0
document automation,5,5,0,1,1,1,0,2,0,1,1,1,0,2
dora compliance,5,5,0,4,0,1,0,0,0,4,0,1,0,0
drone navigation,3,5,0,1,0,2,0,0,0,1,0,4,0,0
electric fencing,2,5,0,0,0,2,0,0,0,0,0,4,0,1
electrical infrastructure analysis,1,5,0,0,0,1,0,0,0,0,0,1,0,4
food safety management,5,5,0,0,0,4,0,1,0,0,0,4,0,1
gis,1,5,0,0,0,1,0,0,0,0,0,1,0,4
health products,3,5,0,1,0,2,0,0,0,1,0,4,0,0
integrated logistics,3,5,0,1,0,2,0,0,0,1,0,4,0,0
inventory checks,3,5,0,1,0,2,0,0,0,1,0,4,0,0
inventory counting,3,5,0,1,0,2,0,0,0,1,0,4,0,0
laptop refresh,3,5,0,0,0,3,0,0,0,0,0,3,0,2
lidar,3,5,0,1,0,2,0,0,0,1,0,4,0,0
logistics center,3,5,0,1,0,2,0,0,0,1,0,4,0,0
manufacturing,5,5,0,0,0,4,0,1,0,0,0,4,0,1
personalized recommendations,4,5,0,3,0,1,0,0,0,3,0,2,0,0
physical deterrent,2,5,0,0,0,2,0,0,0,0,0,4,0,1
printers,4,5,0,1,0,3,0,0,0,1,0,4,0,0
rfid,3,5,0,1,0,2,0,0,0,1,0,4,0,0
rfid readers,3,5,0,1,0,2,0,0,0,1,0,4,0,0
site selection,1,5,0,0,0,1,0,0,0,0,0,1,0,4
store operations,4,5,0,3,0,1,0,0,0,3,0,2,0,0
strategic implementation,3,5,0,1,0,2,0,0,0,1,0,4,0,0
streamlining,4,5,0,0,0,4,0,0,0,0,0,4,0,1
surveillance solutions,2,5,0,0,0,2,0,0,0,0,0,4,0,1
technical requirements,5,5,0,4,0,1,0,0,0,4,0,1,0,0
telecom infrastructure analysis,1,5,0,0,0,1,0,0,0,0,0,1,0,4
traceability,3,5,0,1,0,2,0,0,0,2,0,2,0,1
warehouse drones,3,5,0,1,0,2,0,0,0,1,0,4,0,0
warehouse inventory management,3,5,0,1,0,2,0,0,0,1,0,4,0,0
Cognizant,4,4,0,0,0,4,0,0,0,0,0,4,0,0
Deloitte Digital,2,4,0,0,0,1,0,1,0,0,0,1,0,3
Insight Public Sector,2,4,0,0,0,1,0,1,0,0,0,1,0,3
advanced tech integration,2,4,0,0,0,1,0,1,0,0,0,1,0,3
ai functions,4,4,0,1,1,0,0,2,0,1,1,0,0,2
ai strategy development,4,4,0,0,0,4,0,0,0,0,0,4,0,0
ai-powered health insurance,4,4,0,0,0,4,0,0,0,0,0,4,0,0
automated reconciliation,4,4,0,1,1,0,0,2,0,1,1,0,0,2
configuration monitoring,4,4,0,0,0,2,0,2,0,0,0,2,0,2
consolidations,4,4,0,0,0,4,0,0,0,0,0,4,0,0
consumer ai adoption,4,4,0,0,0,4,0,0,0,0,0,4,0,0
continuous learning,2,4,0,0,0,1,0,1,0,0,0,1,0,3
data-driven analysis,4,4,0,1,1,0,0,2,0,1,1,0,0,2
desktop security,1,4,0,0,0,1,0,0,0,0,0,2,0,2
device maintenance,4,4,0,0,0,2,0,2,0,0,0,2,0,2
device replacement,4,4,0,0,0,3,0,1,0,0,0,3,0,1
digital transformation training,2,4,0,0,0,1,0,1,0,0,0,1,0,3
email web filtering,2,4,0,0,0,2,0,0,0,0,0,4,0,0
end-to-end approach,2,4,0,0,0,1,0,1,0,0,0,1,0,3
ethernet backbone,4,4,0,0,0,2,0,2,0,0,0,2,0,2
ethernet infrastructure,4,4,0,0,0,2,0,2,0,0,0,2,0,2
field device,4,4,0,0,0,2,0,2,0,0,0,2,0,2
financial data management,1,4,0,0,0,1,0,0,0,0,0,2,0,2
hardware replacement,2,4,0,0,0,2,0,0,0,0,0,2,0,2
hart devices,4,4,0,0,0,2,0,2,0,0,0,2,0,2
hart tunneling,4,4,0,0,0,2,0,2,0,0,0,2,0,2
health insurance ai integration,4,4,0,0,0,4,0,0,0,0,0,4,0,0
insurance ai,4,4,0,0,0,4,0,0,0,0,0,4,0,0
it help desk solution,4,4,0,0,0,4,0,0,0,0,0,4,0,0
it infrastructure consultation,2,4,0,0,0,1,0,1,0,0,0,1,0,3
it service desk,1,4,0,0,0,1,0,0,0,0,0,1,0,3
it tools,2,4,0,0,0,1,0,1,0,0,0,1,0,3
modern it,2,4,0,0,0,1,0,1,0,0,0,1,0,3
network intrusion detection,2,4,0,0,0,2,0,0,0,0,0,3,0,1
network segregation,1,4,0,0,0,1,0,0,0,0,0,2,0,2
organizational structure,4,4,0,1,1,0,0,2,0,1,1,0,0,2
payroll validation,4,4,0,1,1,0,0,2,0,1,1,0,0,2
reskilling programs,2,4,0,0,0,1,0,1,0,0,0,1,0,3
security visibility,4,4,0,0,0,2,0,2,0,0,0,2,0,2
server upgrades,4,4,0,0,0,4,0,0,0,0,0,4,0,0
sim,3,4,0,0,0,3,0,0,0,0,0,4,0,0
skills development,2,4,0,0,0,1,0,1,0,0,0,1,0,3
software development processes,4,4,0,0,0,2,0,2,0,0,0,2,0,2
technical skills,2,4,0,0,0,1,0,1,0,0,0,1,0,3
technical skills development,2,4,0,0,0,1,0,1,0,0,0,1,0,3
technical skills training,2,4,0,0,0,1,0,1,0,0,0,1,0,3
workforce services,2,4,0,0,0,1,0,1,0,0,0,1,0,3
2d barcode,1,3,0,0,0,1,0,0,0,0,0,3,0,0
2d barcode reading,1,3,0,0,0,1,0,0,0,0,0,3,0,0
Cooper Lighting Solutions,1,3,0,1,0,0,0,0,0,3,0,0,0,0
Eaton,1,3,0,1,0,0,0,0,0,3,0,0,0,0
Omron Automation,1,3,0,0,0,1,0,0,0,0,0,3,0,0
Ramco Systems,1,3,1,0,0,0,0,0,3,0,0,0,0,0
advanced electromagnetic simulation,2,3,0,1,0,0,1,0,0,2,0,0,1,0
ai-powered data,2,3,0,1,0,1,0,0,0,2,0,1,0,0
barcode verification,1,3,0,0,0,1,0,0,0,0,0,3,0,0
brightlayer lighting software,1,3,0,1,0,0,0,0,0,3,0,0,0,0
call-to-action,2,3,0,1,0,1,0,0,0,2,0,1,0,0
charging infrastructure,2,3,0,1,0,0,1,0,0,2,0,0,1,0
chemical processing,1,3,0,1,0,0,0,0,0,3,0,0,0,0
compression springs,2,3,0,0,0,1,0,1,0,0,0,2,0,1
controls,2,3,0,0,0,1,0,1,0,0,0,1,0,2
